source,destination,timestamp,state_label,comma_separated_list_of_features
0,0,0.0,0,0.0,0.0
1,1,54.0,0,0.0,0.0
1,2,306.0,0,0.0,0.0
2,3,479.0,0,0.0,0.0
1,4,522.0,0,0.0,0.0
1,5,728.0,0,0.0,0.0
3,6,3714.0,0,0.0,0.0
3,7,4398.0,0,0.0,0.0
3,8,5362.0,0,0.0,0.0
3,9,6419.0,0,0.0,0.0
4,10,7417.0,0,0.0,0.0
5,11,8419.0,0,0.0,0.0
2,3,14959.0,0,0.0,0.0
4,12,15007.0,0,0.0,0.0
1,13,17427.0,0,0.0,0.0
1,14,17724.0,0,0.0,0.0
1,15,18006.0,0,0.0,0.0
1,16,18288.0,0,0.0,0.0
4,17,18344.0,0,0.0,0.0
1,18,18531.0,0,0.0,0.0
5,19,18636.0,0,0.0,0.0
1,1,18808.0,0,0.0,0.0
1,2,19060.0,0,0.0,0.0
5,20,20195.0,0,0.0,0.0
0,21,23181.0,0,0.0,0.0
5,22,25230.0,0,0.0,0.0
6,23,26021.0,0,0.0,0.0
7,24,28741.0,0,0.0,0.0
0,25,29377.0,0,0.0,0.0
3,26,29396.0,0,0.0,0.0
0,27,30174.0,0,0.0,0.0
0,28,30741.0,0,0.0,0.0
6,7,31095.0,0,0.0,0.0
0,29,31116.0,0,0.0,0.0
8,30,36561.0,0,0.0,0.0
8,31,37101.0,0,0.0,0.0
9,32,39638.0,0,0.0,0.0
6,23,39934.0,0,0.0,0.0
10,33,41282.0,0,0.0,0.0
11,34,42829.0,0,0.0,0.0
12,35,43229.0,0,0.0,0.0
12,36,43469.0,0,0.0,0.0
12,37,43880.0,0,0.0,0.0
12,38,44100.0,0,0.0,0.0
12,39,44300.0,0,0.0,0.0
12,40,44511.0,0,0.0,0.0
11,41,44649.0,0,0.0,0.0
12,42,44942.0,0,0.0,0.0
12,43,45122.0,0,0.0,0.0
13,44,45193.0,0,0.0,0.0
12,45,45313.0,0,0.0,0.0
12,35,45553.0,0,0.0,0.0
12,36,45803.0,0,0.0,0.0
12,37,46214.0,0,0.0,0.0
12,38,46434.0,0,0.0,0.0
12,39,46634.0,0,0.0,0.0
12,40,46844.0,0,0.0,0.0
12,42,47274.0,0,0.0,0.0
12,43,47454.0,0,0.0,0.0
12,45,47644.0,0,0.0,0.0
10,33,50457.0,0,0.0,0.0
8,46,51526.0,0,0.0,0.0
8,32,51929.0,0,0.0,0.0
12,35,55839.0,0,0.0,0.0
12,36,56079.0,0,0.0,0.0
12,37,56490.0,0,0.0,0.0
14,47,56545.0,0,0.0,0.0
12,38,56711.0,0,0.0,0.0
14,48,56832.0,0,0.0,0.0
12,39,56911.0,0,0.0,0.0
15,49,57110.0,0,0.0,0.0
12,40,57121.0,0,0.0,0.0
12,42,57551.0,0,0.0,0.0
12,43,57731.0,0,0.0,0.0
12,45,57921.0,0,0.0,0.0
12,35,58162.0,0,0.0,0.0
14,47,58178.0,0,0.0,0.0
14,48,58464.0,0,0.0,0.0
16,50,58588.0,0,0.0,0.0
12,36,58892.0,0,0.0,0.0
14,48,58963.0,0,0.0,0.0
16,51,59117.0,0,0.0,0.0
12,37,59312.0,0,0.0,0.0
13,46,59508.0,0,0.0,0.0
12,38,59532.0,0,0.0,0.0
14,47,59688.0,0,0.0,0.0
12,39,59803.0,0,0.0,0.0
12,40,60023.0,0,0.0,0.0
14,47,60663.0,0,0.0,0.0
