,u,i,ts,label,idx
0,1,981,0.0,0.0,1
1,2,982,54.0,0.0,2
2,2,983,306.0,0.0,3
3,3,984,479.0,0.0,4
4,2,985,522.0,0.0,5
5,2,986,728.0,0.0,6
6,4,987,3714.0,0.0,7
7,4,988,4398.0,0.0,8
8,4,989,5362.0,0.0,9
9,4,990,6419.0,0.0,10
10,5,991,7417.0,0.0,11
11,6,992,8419.0,0.0,12
12,3,984,14959.0,0.0,13
13,5,993,15007.0,0.0,14
14,2,994,17427.0,0.0,15
15,2,995,17724.0,0.0,16
16,2,996,18006.0,0.0,17
17,2,997,18288.0,0.0,18
18,5,998,18344.0,0.0,19
19,2,999,18531.0,0.0,20
20,6,1000,18636.0,0.0,21
21,2,982,18808.0,0.0,22
22,2,983,19060.0,0.0,23
23,6,1001,20195.0,0.0,24
24,1,1002,23181.0,0.0,25
25,6,1003,25230.0,0.0,26
26,7,1004,26021.0,0.0,27
27,8,1005,28741.0,0.0,28
28,1,1006,29377.0,0.0,29
29,4,1007,29396.0,0.0,30
30,1,1008,30174.0,0.0,31
31,1,1009,30741.0,0.0,32
32,7,988,31095.0,0.0,33
33,1,1010,31116.0,0.0,34
34,9,1011,36561.0,0.0,35
35,9,1012,37101.0,0.0,36
36,10,1013,39638.0,0.0,37
37,7,1004,39934.0,0.0,38
38,11,1014,41282.0,0.0,39
39,12,1015,42829.0,0.0,40
40,13,1016,43229.0,0.0,41
41,13,1017,43469.0,0.0,42
42,13,1018,43880.0,0.0,43
43,13,1019,44100.0,0.0,44
44,13,1020,44300.0,0.0,45
45,13,1021,44511.0,0.0,46
46,12,1022,44649.0,0.0,47
47,13,1023,44942.0,0.0,48
48,13,1024,45122.0,0.0,49
49,14,1025,45193.0,0.0,50
50,13,1026,45313.0,0.0,51
51,13,1016,45553.0,0.0,52
52,13,1017,45803.0,0.0,53
53,13,1018,46214.0,0.0,54
54,13,1019,46434.0,0.0,55
55,13,1020,46634.0,0.0,56
56,13,1021,46844.0,0.0,57
57,13,1023,47274.0,0.0,58
58,13,1024,47454.0,0.0,59
59,13,1026,47644.0,0.0,60
60,11,1014,50457.0,0.0,61
61,9,1027,51526.0,0.0,62
62,9,1013,51929.0,0.0,63
63,13,1016,55839.0,0.0,64
64,13,1017,56079.0,0.0,65
65,13,1018,56490.0,0.0,66
66,15,1028,56545.0,0.0,67
67,13,1019,56711.0,0.0,68
68,15,1029,56832.0,0.0,69
69,13,1020,56911.0,0.0,70
70,16,1030,57110.0,0.0,71
71,13,1021,57121.0,0.0,72
72,13,1023,57551.0,0.0,73
73,13,1024,57731.0,0.0,74
74,13,1026,57921.0,0.0,75
75,13,1016,58162.0,0.0,76
76,15,1028,58178.0,0.0,77
77,15,1029,58464.0,0.0,78
78,17,1031,58588.0,0.0,79
79,13,1017,58892.0,0.0,80
80,15,1029,58963.0,0.0,81
81,17,1032,59117.0,0.0,82
82,13,1018,59312.0,0.0,83
83,14,1027,59508.0,0.0,84
84,13,1019,59532.0,0.0,85
85,15,1028,59688.0,0.0,86
86,13,1020,59803.0,0.0,87
87,13,1021,60023.0,0.0,88
88,15,1028,60663.0,0.0,89
